freq_Hz,real,imag,amplitude_dB,phase_deg
8007200000.0,0.9780774552244527,0.12639673892392164,-0.12060535397857473,7.363511179290612
8007250000.0,0.9938144123059408,0.12332623962834297,0.012474320439462616,7.073889873169845
8007300000.0,0.9919243396275159,0.12415425302110536,-0.002918683394100714,7.1343269686808926
8007350000.0,0.9875181414496043,0.12862259237778872,-0.036039868638285226,7.4209036894735325
8007400000.0,0.9888286851085598,0.12293518001189867,-0.03096577029244387,7.086879539281662
8007450000.0,1.0003276136558386,0.11707052645670432,0.061924758679259916,6.675085615156789
8007500000.0,1.00007284439293,0.1272754649226572,0.07041043030662676,7.252826266903445
8007550000.0,0.9977771436271753,0.12498284160514288,0.04828444986535249,7.139755772779409
8007600000.0,0.9959680902867254,0.13424904485333733,0.04310728240200672,7.676772277570125
8007650000.0,0.98541555116228,0.1313835666683725,-0.05108809688469529,7.594347816604398
8007700000.0,1.0070391677452224,0.13423520617739446,0.137415444804834,7.592592732905513
8007750000.0,0.9895466946823047,0.13735736279979555,-0.008391261422380423,7.902636516806702
8007800000.0,0.9985573380747906,0.13190330424331015,0.0625857498141895,7.524856566703437
8007850000.0,0.9886366735383127,0.12319953972570598,-0.032342178483486236,7.103328949681994
8007900000.0,0.9957404424143356,0.1371977188560367,0.044599142915126226,7.84508084788182
8007950000.0,0.9852162794193121,0.12720361688817552,-0.05756830050146346,7.356894682394004
8008000000.0,0.9869442068743324,0.1383578088997838,-0.029625235642146683,7.980178900486194
8008050000.0,0.9821740248461481,0.1238242766088734,-0.08774692495269254,7.18546340719528
8008100000.0,0.9876448512922464,0.12842294230702828,-0.035168712147831516,7.408572895095236
8008150000.0,0.9875063242317946,0.1341758513114079,-0.0297557674986333,7.737589049530232
8008200000.0,0.9860677288703187,0.1271743636408071,-0.050220589736977815,7.348939705294354
8008250000.0,0.9791177310565964,0.11777605501470213,-0.12091308078258504,6.859036417257106
8008300000.0,0.9899637784351086,0.117381074915029,-0.026981236532100276,6.7620509746896875
8008350000.0,0.9827511693671015,0.12351199824354014,-0.08306611453302087,7.163365177125057
8008400000.0,0.9785120713658637,0.12959146924157416,-0.11316291576142518,7.544193698438909
8008450000.0,0.995027235051396,0.12493763755242011,0.024635322871007614,7.15672057239663
8008500000.0,0.9822233658660683,0.12188373236989514,-0.0894307299028684,7.073652619471508
8008550000.0,0.9909262031339642,0.11609296921984279,-0.01996989455827016,6.682084815867622
8008600000.0,0.9998007431524275,0.12311454761826875,0.06362791051178868,7.02001012733198
8008650000.0,0.9869704722496936,0.12653389475486093,-0.04311491519467439,7.305714917750993
